scenarij,TimeStep,kategorija,pos_zgornja,neg_zgornja,vozila_zgornja,pos_spodnja,neg_spodnja,vozila_spodnja,Cas
50pct,58,izobrazevalno,9743.868534622656,2611.3314653773427,286,0.0,0.0,0.0,14:30
50pct,58,poslovno,24392.636324201278,6581.763675798724,717,18053.940562158576,4928.459437841425,532.0,14:30
50pct,58,stanovanjsko,110467.63948572939,30882.760514270616,3272,0.0,0.0,0.0,14:30
50pct,58,zelene_povrsine,2458.725103731989,694.8748962680113,73,0.0,0.0,0.0,14:30
50pct,59,delovno_neopredeljeno,39640.7255129826,9909.6744870174,1147,39640.7255129826,9909.6744870174,1147.0,14:45
50pct,59,drugo_neopredeljeno,31185.756234065375,9076.643765934623,932,0.0,0.0,0.0,14:45
50pct,59,industrijsko,55359.077148761775,14668.12285123822,1621,53753.06932951467,14286.930670485333,1575.0,14:45
50pct,59,izobrazevalno,8993.78097771309,2454.2190222869103,265,0.0,0.0,0.0,14:45
50pct,59,poslovno,23688.53860948615,6378.661390513849,696,17567.46885226035,4810.131147739649,518.0,14:45
50pct,59,stanovanjsko,113353.16151920773,32058.038480792267,3366,0.0,0.0,0.0,14:45
50pct,59,zelene_povrsine,2426.5107157530524,683.8892842469475,72,0.0,0.0,0.0,14:45
50pct,60,delovno_neopredeljeno,39088.60326058686,9727.39673941314,1130,39088.60326058686,9727.39673941314,1130.0,15:00
50pct,60,drugo_neopredeljeno,29512.30955617582,8633.29044382418,883,0.0,0.0,0.0,15:00
50pct,60,industrijsko,54422.40908777638,14438.390912223618,1594,52924.17057983919,14079.029420160814,1551.0,15:00
50pct,60,izobrazevalno,8582.92485334886,2346.6751466511387,253,0.0,0.0,0.0,15:00
50pct,60,poslovno,22746.215400278044,6111.384599721955,668,17074.298301352814,4655.301698647186,503.0,15:00
50pct,60,stanovanjsko,117158.04947925208,33480.35052074792,3487,0.0,0.0,0.0,15:00
50pct,60,zelene_povrsine,2239.1255985643,612.0744014356997,66,0.0,0.0,0.0,15:00
50pct,61,delovno_neopredeljeno,37156.712153555585,9240.087846444418,1074,37156.712153555585,9240.087846444418,1074.0,15:15
50pct,61,drugo_neopredeljeno,27732.077987810953,8210.322012189046,832,0.0,0.0,0.0,15:15
50pct,61,industrijsko,50014.465452770775,13316.734547229227,1466,48556.57664565035,12960.223354349646,1424.0,15:15
50pct,61,izobrazevalno,8056.51166302942,2225.0883369705807,238,0.0,0.0,0.0,15:15
50pct,61,poslovno,21469.014958069445,5790.185041930553,631,15931.175184917603,4372.824815082397,470.0,15:15
50pct,61,stanovanjsko,121575.95079849247,35153.64920150752,3628,0.0,0.0,0.0,15:15
50pct,61,zelene_povrsine,2105.3015510466767,573.0984489533237,62,0.0,0.0,0.0,15:15
50pct,62,delovno_neopredeljeno,35005.218954074466,8713.18104592553,1012,35005.218954074466,8713.18104592553,1012.0,15:30
50pct,62,drugo_neopredeljeno,25995.768317721584,7743.4316822784185,781,0.0,0.0,0.0,15:30
50pct,62,industrijsko,44878.62859809497,11972.57140190503,1316,43520.52367497651,11645.87632502349,1277.0,15:30
50pct,62,izobrazevalno,7541.586923674535,2092.013076325465,223,0.0,0.0,0.0,15:30
50pct,62,poslovno,19272.41878539886,5178.781214601138,566,14228.049493795574,3872.7505062044274,419.0,15:30
50pct,62,stanovanjsko,128528.36821223125,37446.03178776875,3842,0.0,0.0,0.0,15:30
50pct,62,zelene_povrsine,2030.307700378803,561.6922996211971,60,0.0,0.0,0.0,15:30
50pct,63,delovno_neopredeljeno,31314.96606599831,7824.23393400169,906,31314.96606599831,7824.23393400169,906.0,15:45
50pct,63,drugo_neopredeljeno,24204.301402299163,7158.898597700836,726,0.0,0.0,0.0,15:45
50pct,63,industrijsko,38875.54048988562,10286.059510114377,1138,37562.049547577306,9957.950452422696,1100.0,15:45
50pct,63,izobrazevalno,7003.428269193641,1938.9717308063591,207,0.0,0.0,0.0,15:45
50pct,63,poslovno,17368.092345199428,4663.907654800571,510,12636.262925162237,3477.337074837763,373.0,15:45
50pct,63,stanovanjsko,138281.29509844154,40696.304901558455,4143,0.0,0.0,0.0,15:45
50pct,63,zelene_povrsine,1820.2935853573804,512.5064146426197,54,0.0,0.0,0.0,15:45
50pct,64,delovno_neopredeljeno,27598.082224310347,6875.517775689654,798,27598.082224310347,6875.517775689654,798.0,16:00
50pct,64,drugo_neopredeljeno,22214.49701351408,6686.302986485922,669,0.0,0.0,0.0,16:00
50pct,64,industrijsko,32577.45912774605,8764.940872253954,957,31291.509590952777,8452.490409047225,920.0,16:00
50pct,64,izobrazevalno,6593.151331170418,1830.8486688295818,195,0.0,0.0,0.0,16:00
50pct,64,poslovno,14883.830348781008,3994.5696512189925,437,10415.844296752455,2889.755703247544,308.0,16:00
50pct,64,stanovanjsko,148904.14807731815,44502.25192268184,4477,0.0,0.0,0.0,16:00
50pct,64,zelene_povrsine,1715.0341351444008,488.16586485559895,51,0.0,0.0,0.0,16:00
50pct,65,delovno_neopredeljeno,23782.501765392764,5982.298234607236,689,23782.501765392764,5982.298234607236,689.0,16:15
50pct,65,drugo_neopredeljeno,21003.953859472556,6298.446140527445,632,0.0,0.0,0.0,16:15
50pct,65,industrijsko,25572.92997135249,6956.670028647513,753,24322.785505023556,6651.614494976445,717.0,16:15
50pct,65,izobrazevalno,6138.023855810698,1681.1761441893027,181,0.0,0.0,0.0,16:15
50pct,65,poslovno,12256.43540699003,3295.5645930099727,360,8168.469587292194,2285.9304127078058,242.0,16:15
50pct,65,stanovanjsko,161424.53638720536,48484.263612794624,4859,0.0,0.0,0.0,16:15
50pct,65,zelene_povrsine,1650.7286030587966,466.0713969412033,49,0.0,0.0,0.0,16:15
50pct,66,delovno_neopredeljeno,19226.996814894905,4965.003185105095,560,19226.996814894905,4965.003185105095,560.0,16:30
50pct,66,drugo_neopredeljeno,19577.425794366907,5910.574205633093,590,0.0,0.0,0.0,16:30
50pct,66,industrijsko,19729.630901929726,5412.769098070274,582,18623.79024476529,5136.209755234711,550.0,16:30
50pct,66,izobrazevalno,5571.572067515123,1513.2279324848766,164,0.0,0.0,0.0,16:30
50pct,66,poslovno,9999.407785450981,2701.3922145490183,294,6147.243481092988,1715.156518907012,182.0,16:30
50pct,66,stanovanjsko,175545.52014955258,53198.47985044741,5295,0.0,0.0,0.0,16:30
50pct,66,zelene_povrsine,1588.9449469968038,441.4550530031962,47,0.0,0.0,0.0,16:30
50pct,67,delovno_neopredeljeno,13886.000044325585,3696.399955674415,407,13886.000044325585,3696.399955674415,407.0,16:45
50pct,67,drugo_neopredeljeno,18043.148480909156,5457.651519090847,544,0.0,0.0,0.0,16:45
50pct,67,industrijsko,14511.935213194773,4107.264786805227,431,13443.29449201011,3836.705507989889,400.0,16:45
50pct,67,izobrazevalno,4983.82074869855,1366.5792513014508,147,0.0,0.0,0.0,16:45
50pct,67,poslovno,7916.461729044346,2149.138270955654,233,4284.820365185182,1244.7796348148183,128.0,16:45
50pct,67,stanovanjsko,188878.57739225274,57663.822607747265,5707,0.0,0.0,0.0,16:45
50pct,67,zelene_povrsine,1451.9296124956284,405.67038750437166,43,0.0,0.0,0.0,16:45
50pct,68,delovno_neopredeljeno,9745.066745583501,2653.333254416499,287,9745.066745583501,2653.333254416499,287.0,17:00
50pct,68,drugo_neopredeljeno,16354.711375938903,4986.088624061098,494,0.0,0.0,0.0,17:00
50pct,68,industrijsko,10489.157152174357,2989.2428478256425,312,9420.516430989697,2718.683569010304,281.0,17:00
50pct,68,izobrazevalno,4576.3093792479,1255.6906207520997,135,0.0,0.0,0.0,17:00
50pct,68,poslovno,6039.419041245383,1693.380958754617,179,2665.812108827695,833.387891172305,81.0,17:00
50pct,68,stanovanjsko,201762.06902846508,61801.13097153491,6101,0.0,0.0,0.0,17:00
50pct,68,zelene_povrsine,1339.962471154191,344.83752884580906,39,0.0,0.0,0.0,17:00
50pct,69,delovno_neopredeljeno,5935.498156729091,1624.5018432709098,175,5935.498156729091,1624.5018432709098,175.0,17:15
50pct,69,drugo_neopredeljeno,15131.71857678776,4653.88142321224,458,0.0,0.0,0.0,17:15
50pct,69,industrijsko,6809.691486026066,1959.9085139739343,203,5893.713162344238,1709.4868376557615,176.0,17:15
50pct,69,izobrazevalno,4317.691565509262,1168.7084344907387,127,0.0,0.0,0.0,17:15
50pct,69,poslovno,4687.379881954781,1360.6201180452185,140,1640.2338310707134,562.9661689292866,51.0,17:15
50pct,69,stanovanjsko,214133.29595680884,65932.30404319115,6483,0.0,0.0,0.0,17:15
50pct,69,zelene_povrsine,1219.8820245612571,292.11797543874286,35,0.0,0.0,0.0,17:15
50pct,70,delovno_neopredeljeno,3793.301324890184,1088.298675109816,113,3793.301324890184,1088.298675109816,113.0,17:30
50pct,70,drugo_neopredeljeno,13913.767639180114,4316.632360819886,422,0.0,0.0,0.0,17:30
50pct,70,industrijsko,4238.898954619315,1290.7010453806847,128,3322.920630937488,1040.279369062512,101.0,17:30
50pct,70,izobrazevalno,3957.5852026912426,1096.8147973087573,117,0.0,0.0,0.0,17:30
50pct,70,poslovno,3579.210237963936,1043.1897620360637,107,886.7169491336033,322.8830508663967,28.0,17:30
